id,state,start_date,end_date,race_type,special,primary_type,primary_note,prez,senate,house,gov,state_officers,state_leg,portal_link,direct_links,county_level,county_level_status,precinct_level,precinct_level_status,cong_dist_level,cong_dist_level_status,state_leg_level,state_leg_level_status,state_level,state_level_status,result_type,absentee_and_provisional,user_fullname
411,WI,2012-08-14,2012-08-14,primary,False,closed,,False,True,True,False,False,True,https://elections.wi.gov/elections-voting/results/2012/partisan-primary,"https://elections.wi.gov/files/Ward%20x%20Ward%20Results_8.14.12%20primary_Assembly.xls, 
http://elections.wi.gov/files/2012%20Partisan%20Primary%20District%20Attorney.xlsx, 
https://elections.wi.gov/files/Ward%20x%20Ward%20Results_8.14.12%20primary_State%20Senate.xls, 
https://elections.wi.gov/files/Ward%20x%20Ward%20Results_8.14.12%20primary_U.S.%20Congress.xls, 
https://elections.wi.gov/files/Ward%20x%20Ward%20Results_8.14.12%20primary_U.S.%20Senate.xls",False,,True,,False,,False,,False,,certified,True,"Davies, Nick"
1662,WI,2012-06-05,2012-06-05,general-recall,False,,,False,False,False,True,True,True,https://elections.wi.gov/elections-voting/results/2012/recall-election,https://elections.wi.gov/files/Ward%20Results_6.5.12%20Recall%20Election_all%20offices_post%20sen%2021%20recount.xls,True,yes,True,yes,False,Unavailable,True,yes,True,yes,certified,False,"Davies, Nick"
1830,WI,2012-05-08,2012-05-08,primary-recall,False,open,,False,False,False,True,True,False,http://elections.wi.gov/elections-voting/results/2012/recall-primary,http://elections.wi.gov/files/Recall%20Primary%20Ward%20by%20Ward%20Report%20%285.18.12%29.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
413,WI,2012-04-03,2012-04-03,primary,False,closed,,True,False,False,False,False,False,https://elections.wi.gov/elections-voting/results/2012/spring-election-presidential-preference,https://elections.wi.gov/files/Results%20by%20Ward_Spring%20Election%20and%20Pres%20Pref%20vote_4.3.12.xls,True,yes,True,yes,False,Unavailable,True,yes,True,yes,certified,True,"Vestal, Alan James"
1831,WI,2012-02-21,2012-02-21,primary,False,other,Non partisan primary,False,False,False,False,True,False,http://elections.wi.gov/elections-voting/results/2012/spring/primary,http://elections.wi.gov/files/WxW%202.21.12%20Primary.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
415,WI,2011-11-08,2011-11-08,general,True,,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2011/special/ad-95-election,https://elections.wi.gov/files/Ward%20Results.xls,True,,True,,False,,False,,False,,certified,True,"Davies, Nick"
416,WI,2011-10-11,2011-10-11,primary,True,closed,,False,False,False,False,False,True,https://elections.wi.gov/elections-voting/results/2011/special/ad-95-primary,https://elections.wi.gov/files/Ward%20results.95th%20Assm%20Special%20Primary.xls,True,,True,,False,,False,,False,,certified,True,"Vestal, Alan James"
1832,WI,2011-08-16,2011-08-16,general-recall,False,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/August-16,"http://elections.wi.gov/files/Ward%20results_recall%20election_Senate%2012.xls, 
http://elections.wi.gov/files/Ward%20results_recall%20election_Senate%2022.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1833,WI,2011-08-09,2011-08-09,general,True,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/special-AD48-election,http://elections.wi.gov/files/Ward%20Results_Special%20Election_Assembly%2048.xls,False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
1834,WI,2011-08-09,2011-08-09,general-recall,False,,,False,False,False,False,False,True,http://elections.wi.gov/elections-voting/results/2011/august-9-recall,"http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%202.xls, 
http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%208.xls, 
http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%2010.xls, 
http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%2014.xls, 
http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%2018.xls, 
http://elections.wi.gov/files/Ward%20Results_Recall%20Election_Senate%2032.xls",False,,True,yes,False,,False,,False,,certified,False,"Davies, Nick"
